_id,text
ObjectId("5e28fe3f9f32ef20387f4285"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4286"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4287"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4288"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4289"),Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a… https://t.co/jgCV9LMpZL
ObjectId("5e28fe3f9f32ef20387f428a"),@FiscaliaEdomex me pueden orientar, a donde debo acudir para hacer una aclaración, la placa de mi carro cuenta con… https://t.co/74hkxLYEnM
ObjectId("5e28fe3f9f32ef20387f428b"),RT @telediario: 🔴 Se difunde #Video de robo a mano armada de un automóvil en #Ecatepec #Edomex ¡En menos de 30 segundos! A los ladrones no…
ObjectId("5e28fe3f9f32ef20387f428c"),De la @FiscaliaCDMX nos informan que se abrieron 37 carpetas de investigación: 13 por robo a negocio sin violencia,… https://t.co/YG4SIxVNpb
ObjectId("5e28fe3f9f32ef20387f428d"),RT @lasillarota: Policía se niega a detener a asaltantes de anciana en las calles del centro de la #CDMX; otros uniformados lo detuvieron h…
ObjectId("5e28fe3f9f32ef20387f428e"),RT @telediario: 🔴 Se difunde #Video de robo a mano armada de un automóvil en #Ecatepec #Edomex ¡En menos de 30 segundos! A los ladrones no…
ObjectId("5e28fe3f9f32ef20387f428f"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f4290"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f4291"),#LoMásLeído López Obrador pedirá a Pemex explique robo de crudo en Golfo de México https://t.co/s7dsh4fx94
ObjectId("5e28fe3f9f32ef20387f4292"),🔴 Se difunde #Video de robo a mano armada de un automóvil en #Ecatepec #Edomex ¡En menos de 30 segundos! A los ladr… https://t.co/tF7Zq4ljI7
ObjectId("5e28fe3f9f32ef20387f4293"),RT @SofiaEnTuRadio: #3DeHoy

Hoy es un día clave para la audiencia de García Luna en NY.
Robo de perros, negoció que se ha vuelto redituabl…
ObjectId("5e28fe3f9f32ef20387f4294"),#3DeHoy

Hoy es un día clave para la audiencia de García Luna en NY.
Robo de perros, negoció que se ha vuelto redit… https://t.co/L9Aj4OKstS
ObjectId("5e28fe3f9f32ef20387f4295"),RT @lasillarota: Policía se niega a detener a asaltantes de anciana en las calles del centro de la #CDMX; otros uniformados lo detuvieron h…
ObjectId("5e28fe3f9f32ef20387f4296"),RT @lasillarota: Policía se niega a detener a asaltantes de anciana en las calles del centro de la #CDMX; otros uniformados lo detuvieron h…
